"","Year","Laydate","Individual ID","Breeding experience","Sex","Colour score","Age class","TL","Parasite intensity","Infected","Infection intensity score"
"120","2006","6","226550","1","0","6","1","2.48554596","0","0","0"
"121","2008","-14","226550","2","0","6","3","0.487376726","3.788775327","1","5"
"122","2008","-7","230661","1","1","9","2","2.458321504","0","0","0"
"123","2009","-25","230661","2","1","9","3","1.048466517","0.004656725","1","1"
"124","2008","-5","233886","1","1","6","3","2.11419741","1.131083203","1","4"
"125","2009","-30","233886","2","1","7","3","0.775722543","0.033145726","1","2"
"126","2008","-6","234064","2","0","7","3","2.761027897","5.93204578","1","5"
"127","2009","-25","234064","2","0","8","3","1.043137255","0.002522876","1","1"
"128","2008","-7","237159","1","0","6","1","0.996324837","0","0","0"
"129","2009","-25","237159","2","0","6","2","1.820769661","0.003503541","1","1"
"130","2008","-13","238086","1","0","13","1","1.914837457","0.014269958","1","2"
"131","2011","-5","238086","2","0","13","3","0.255947179","0","0","0"
"132","2013","25","238086","2","0","13","3","0.970326781","0.185848879","1","3"
"133","2009","-37","253017","1","0","6","1","1.213313609","0.022496478","1","2"
"134","2011","0","253017","2","0","5","3","0.560813187","0.013142857","1","2"
"135","2012","-3","253017","2","0","5","3","0.328712261","0.01797597","1","2"
"136","2013","12","253017","2","0","6","3","2.46614445","0","0","0"
"137","2009","-33","253020","1","1","12","2","0.019018393","0.001062924","1","1"
"138","2011","-6","253020","2","1","12","3","2.369799714","0.597997139","1","3"
"139","2009","-29","253021","1","0","8","1","0.577981651","0.000949908","1","1"
"140","2010","10","253021","2","0","8","2","0.538490921","0.07860121","1","2"
"141","2009","-29","253022","1","1","12","1","1.686344941","0","0","0"
"142","2010","12","253022","2","1","12","2","1.052310582","0.012765602","1","2"
"143","2012","-6","253022","2","1","12","3","0.463790725","0.004677916","1","1"
"144","2013","11","253022","2","1","12","3","1.008174853","0","0","0"
"145","2009","-25","253030","2","0","5","1","1.703457447","0","0","0"
"146","2010","12","253030","2","0","6","2","3.144430735","0","0","0"
"147","2012","-6","253030","2","0","6","3","0.167413971","0.00833299","1","1"
"148","2013","11","253030","2","0","6","3","0.528337733","0","0","0"
"149","2010","16","253194","1","0","6","2","0.852721832","1.713302409","1","4"
"150","2013","14","253194","2","0","6","3","0.397160367","0","0","0"
"151","2010","10","253195","1","1","6","2","0.976716207","0.787685775","1","3"
"152","2011","15","253195","2","1","6","3","1.080071111","3.167407407","1","5"
"153","2010","16","253196","1","1","5","2","2.122725638","2.25314635","1","4"
"154","2011","11","253196","2","1","5","3","2.789359867","1.96185738","1","4"
"155","2013","14","253196","2","1","5","3","2.438339535","0","0","0"
"156","2010","22","253197","1","0","11","2",NA,NA,"1",NA
